Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Année édition
Genk,20,40.3,6.0,3250,457,1177,1335,765,87,3250,132,70,53.0,62,47.0,1569,9250,4644,95,77,21,107,51,1819,202,2020
Inter,20,41.5,6.0,3452,456,1377,1521,589,102,3451,93,60,64.5,33,35.5,1786,10323,5414,94,55,27,62,45,2186,168,2020
Juventus,23,59.4,8.0,6097,488,1505,3084,1555,149,6096,139,93,66.9,45,32.4,3313,18335,9880,196,159,38,100,57,4484,374,2020
Leverkusen,20,58.8,6.0,4727,373,1378,2307,1087,124,4727,114,72,63.2,42,36.8,2901,14663,7212,140,105,22,110,62,3351,262,2020
Lille,21,42.7,6.0,3355,355,1063,1559,786,126,3355,145,81,55.9,63,43.4,1718,9804,5318,116,94,31,103,60,1962,208,2020
Liverpool,20,66.6,8.3,7146,364,1438,3695,2066,286,7146,203,131,64.5,72,35.5,4839,21502,11146,214,177,53,154,75,5213,562,2020
Loko Moscow,20,32.3,6.0,2875,441,1083,1296,530,61,2875,86,51,59.3,35,40.7,1420,7455,3620,63,58,12,103,69,1508,139,2020
Lyon,24,44.9,10.0,5869,669,1881,2684,1366,177,5867,246,165,67.1,81,32.9,3434,17928,9531,217,145,56,158,118,3664,353,2020
Manchester City,23,62.4,9.0,7135,440,1426,3663,2104,278,7132,187,128,68.4,59,31.6,5285,25815,14361,270,237,70,108,91,5457,484,2020
Napoli,24,47.5,8.0,5135,586,1759,2354,1065,151,5131,127,72,56.7,55,43.3,2737,14173,7846,147,102,42,118,88,3452,312,2020
Olympiacos,17,45.0,6.0,3263,428,1196,1498,599,101,3261,126,82,65.1,44,34.9,1736,9107,4657,94,56,23,78,60,2036,186,2020
Paris S-G,24,53.2,11.0,7823,717,2423,3963,1515,225,7822,228,137,60.1,91,39.9,4706,22862,12052,204,187,58,165,95,5608,443,2020
RB Leipzig,25,57.1,10.0,7632,600,1974,3669,2047,259,7628,174,102,58.6,72,41.4,4298,22171,12453,233,189,36,183,76,5269,560,2020
RB Salzburg,21,44.8,6.0,3536,358,1055,1660,859,157,3534,103,47,45.6,56,54.4,1601,8305,4626,102,65,36,109,53,2045,258,2020
Real Madrid,25,54.8,8.0,6067,521,1686,2662,1760,245,6066,155,97,62.6,58,37.4,3771,20974,10974,195,175,67,105,77,4478,409,2020
Red Star,19,36.5,6.0,2906,451,1087,1397,454,78,2905,98,46,46.9,52,53.1,1495,8559,4557,82,57,15,101,45,1631,168,2020
Shakhtar,18,49.8,6.0,3831,397,1253,1850,763,117,3830,116,73,62.9,43,37.1,2763,15339,8007,139,96,30,87,48,2684,178,2020
Slavia Prague,20,48.7,6.0,3808,380,1188,1550,1112,134,3807,98,45,45.9,53,54.1,2141,11432,5369,104,97,27,110,56,2417,270,2020
Tottenham,28,50.0,8.0,5209,514,1403,2680,1170,159,5207,197,111,56.3,86,43.7,3515,15844,8149,158,126,29,108,80,3530,295,2020
Valencia,23,48.5,8.0,4791,612,1684,2158,1001,143,4788,122,66,54.1,56,45.9,2506,12769,6524,122,85,20,106,63,3010,304,2020
Zenit,19,39.5,6.0,3316,435,1238,1393,725,94,3316,100,54,54.0,46,46.0,1752,9216,4856,81,65,17,70,41,1871,173,2020
AEK Athens,20,40.8,6.0,3133,429,1064,1611,498,55,3133,87,48,55.2,39,44.8,1737,9883,4799,79,58,14,76,81,1913,142,2019
Ajax,22,52.9,12.0,7949,678,2244,3815,1967,307,7947,229,128,55.9,101,44.1,4666,23610,12171,236,175,59,205,124,5100,501,2019
Atlético Madrid,21,48.9,8.0,5113,336,1176,2552,1434,175,5113,104,63,60.6,41,39.4,2824,14763,7479,151,125,32,106,69,3367,325,2019
Barcelona,23,61.4,12.0,9738,777,2460,5027,2321,309,9737,212,129,60.8,83,39.2,5498,27244,14770,260,241,79,131,110,7398,558,2019
Bayern Munich,20,56.9,8.0,5916,510,1962,2827,1163,215,5914,125,69,55.2,56,44.8,3543,19116,10448,204,144,61,102,99,4137,368,2019
Benfica,20,44.3,6.0,3478,318,1097,1714,722,99,3478,91,56,61.5,35,38.5,2049,10572,5322,106,84,14,80,68,2148,205,2019
Club Brugge,25,40.2,6.0,3377,363,1035,1660,706,65,3376,51,35,68.6,16,31.4,1840,9162,4791,100,71,10,98,64,2100,220,2019
CSKA Moscow,22,44.7,6.0,3354,407,1147,1468,768,114,3352,94,54,57.4,40,42.6,1560,9147,4843,109,85,21,64,51,2046,218,2019
Dortmund,24,60.6,8.0,6904,418,1656,3659,1641,191,6903,140,80,57.1,59,42.1,4703,22779,11436,170,174,49,138,86,5236,444,2019
Galatasaray,21,53.5,6.0,3641,320,1028,1799,841,98,3638,94,58,61.7,36,38.3,1718,10045,5426,100,69,15,92,46,2375,211,2019
Hoffenheim,25,45.0,6.0,3334,327,1058,1594,724,129,3333,86,62,72.1,24,27.9,1683,10428,5924,139,78,30,86,67,2130,257,2019
Inter,17,47.7,6.0,3730,399,1256,1716,785,125,3730,67,34,50.7,33,49.3,1773,10954,5875,129,77,16,68,47,2475,241,2019
Juventus,22,55.2,10.0,6707,534,1679,3533,1565,216,6704,190,114,60.0,75,39.5,3661,20969,11253,227,180,47,150,93,4690,455,2019
