Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Année édition
Feyenoord,23,25.1,6,540,90,100,6.0,66,,,16,0,25,0.50,5,14,-9,-1.50,5.4,8.6,-3.3,-0.54,2018
Juventus,23,29.5,10,900,90,100,10.0,110,,,29,0,41,1.80,14,12,+2,+0.20,16.9,13.6,+3.3,+0.33,2018
Liverpool,24,25.6,13,"1,170",90,100,13.0,143,,,37,0,54,1.92,41,16,+25,+1.92,33.0,13.2,+19.7,+1.52,2018
Manchester City,25,25.9,10,900,90,100,10.0,110,,,25,0,45,1.80,20,12,+8,+0.80,15.7,11.0,+4.6,+0.46,2018
Manchester Utd,25,26.5,8,720,90,100,8.0,88,,,24,0,32,2.00,13,5,+8,+1.00,18.0,8.2,+9.8,+1.23,2018
Monaco,23,26.0,6,540,90,100,6.0,66,,,17,0,25,0.33,6,16,-10,-1.67,5.9,9.7,-3.8,-0.63,2018
Napoli,20,27.9,6,540,90,100,6.0,66,,,17,0,25,1.00,11,11,0,0.00,10.1,8.2,+1.8,+0.31,2018
NK Maribor,17,28.5,6,540,90,100,6.0,66,,,17,0,25,0.50,3,16,-13,-2.17,4.1,16.1,-12.0,-1.99,2018
Olympiacos,22,26.9,6,540,90,100,6.0,66,,,18,0,24,0.17,4,13,-9,-1.50,3.4,13.8,-10.3,-1.72,2018
Paris S-G,19,26.2,8,720,90,100,8.0,88,,,21,0,35,1.88,27,9,+18,+2.25,17.2,9.5,+7.7,+0.96,2018
Porto,25,26.6,8,720,90,100,8.0,88,,,23,0,33,1.38,15,15,0,0.00,10.9,11.2,-0.3,-0.04,2018
Qarabağ FK,20,28.4,6,540,90,100,6.0,66,,,18,0,24,0.33,2,14,-12,-2.00,2.4,14.8,-12.4,-2.06,2018
RB Leipzig,19,23.9,6,540,90,100,6.0,66,,,17,0,25,1.17,10,11,-1,-0.17,9.6,7.7,+2.0,+0.33,2018
Real Madrid,23,27.8,13,"1,170",90,100,13.0,143,,,38,0,53,2.23,33,16,+17,+1.31,33.0,20.0,+13.1,+1.01,2018
Roma,20,28.0,12,"1,080",90,100,12.0,132,,,33,0,51,1.67,21,19,+2,+0.17,19.1,18.2,+0.9,+0.07,2018
Sevilla,22,27.2,10,900,90,100,10.0,110,,,28,0,42,1.40,15,15,0,0.00,16.1,13.9,+2.2,+0.22,2018
Shakhtar,20,27.6,8,720,90,100,8.0,88,,,20,0,36,1.88,11,11,0,0.00,9.9,13.7,-3.8,-0.48,2018
Spartak Moscow,20,27.9,6,540,90,100,6.0,66,,,17,0,25,1.00,9,13,-4,-0.67,6.8,11.4,-4.6,-0.77,2018
Sporting CP,21,26.6,6,540,90,100,6.0,66,,,18,0,24,1.17,8,9,-1,-0.17,7.3,7.1,+0.2,+0.04,2018
Tottenham,26,25.6,8,720,90,100,8.0,88,,,21,0,35,2.13,18,8,+10,+1.25,13.1,12.6,+0.5,+0.06,2018
