Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Année édition
Schalke 04,27,8.0,2440,3273,74.5,46792,16903,965,1149,84.0,1149,1376,83.5,297,581,51.1,4,5.7,4.6,-1.7,55,168,40,7,241,2019
Shakhtar,20,6.0,2630,3167,83.0,44787,14900,1162,1298,89.5,1082,1225,88.3,257,413,62.2,8,6.2,4.3,+1.8,57,124,49,6,214,2019
Tottenham,24,13.0,5730,7075,81.0,102185,36574,2615,2933,89.2,2318,2694,86.0,647,1052,61.5,17,16.9,14.8,+0.1,151,406,111,21,564,2019
Valencia,22,6.0,2480,3051,81.3,42612,16341,1206,1355,89.0,987,1158,85.2,235,390,60.3,2,4.6,5.5,-2.6,50,173,47,14,271,2019
Viktoria Plzeň,21,6.0,1780,2384,74.7,32555,13869,773,906,85.3,644,797,80.8,257,467,55.0,6,5.8,4.5,+0.2,48,122,43,9,205,2019
Young Boys,20,6.0,1939,2538,76.4,35231,14480,854,984,86.8,782,928,84.3,237,473,50.1,1,4.2,4.0,-3.2,53,158,39,13,180,2019
Anderlecht,20,6.0,2413,3007,80.2,42668,15984,1142,1287,88.7,840,991,84.8,312,507,61.5,1,4.2,4.9,-3.2,44,171,40,17,244,2018
APOEL FC,21,6.0,1467,2034,72.1,28161,13195,656,780,84.1,518,672,77.1,236,438,53.9,1,2.9,2.4,-1.9,39,107,29,12,126,2018
Atlético Madrid,20,6.0,2732,3367,81.1,43826,15314,1433,1581,90.6,931,1103,84.4,245,451,54.3,4,8.2,7.9,-4.2,81,252,62,14,295,2018
Barcelona,22,10.0,6340,7313,86.7,106167,31741,3134,3402,92.1,2390,2635,90.7,614,889,69.1,11,9.1,10.2,+1.9,90,487,85,2,512,2018
Basel,21,8.0,2308,3124,73.9,40627,14890,1055,1231,85.7,947,1187,79.8,249,545,45.7,6,6.6,4.0,-0.6,49,143,33,11,198,2018
Bayern Munich,22,12.0,6375,7631,83.5,112519,36572,2890,3182,90.8,2601,2942,88.4,692,1080,64.1,17,20.7,22.1,-3.7,177,493,156,36,728,2018
Benfica,25,6.0,2990,3652,81.9,50149,16905,1444,1595,90.5,1066,1250,85.3,325,522,62.3,1,4.9,5.8,-3.9,66,227,45,16,250,2018
Beşiktaş,23,8.0,2703,3638,74.3,50189,20308,1233,1421,86.8,1027,1271,80.8,369,749,49.3,8,6.1,5.8,+1.9,66,196,53,11,262,2018
Celtic,20,6.0,2586,3091,83.7,46775,15350,1081,1200,90.1,1181,1302,90.7,260,446,58.3,4,4.4,3.1,-0.4,43,103,23,5,159,2018
Chelsea,19,8.0,3490,4221,82.7,60039,19935,1645,1834,89.7,1368,1559,87.7,364,579,62.9,9,12.1,10.5,-3.1,103,287,75,15,343,2018
CSKA Moscow,20,6.0,2158,2860,75.5,37337,14181,1038,1215,85.4,867,1054,82.3,211,447,47.2,4,3.3,3.7,+0.7,54,150,42,10,201,2018
Dortmund,22,6.0,3295,3912,84.2,57715,19232,1489,1633,91.2,1339,1508,88.8,362,579,62.5,6,7.7,8.5,-1.7,68,282,57,8,316,2018
Feyenoord,23,6.0,1965,2605,75.4,35804,12543,878,1003,87.5,728,877,83.0,279,541,51.6,4,3.4,1.9,+0.6,36,87,24,7,140,2018
Juventus,23,10.0,4434,5379,82.4,82764,27402,1880,2120,88.7,1908,2168,88.0,566,854,66.3,9,11.5,10.8,-2.5,98,310,66,17,400,2018
Liverpool,24,13.0,5831,7361,79.2,104703,35233,2516,2882,87.3,2529,2938,86.1,619,1129,54.8,35,25.4,19.5,+9.6,153,425,154,26,612,2018
Manchester City,25,10.0,7053,8064,87.5,110990,32341,3424,3723,92.0,2631,2882,91.3,540,763,70.8,16,12.0,14.6,+4.0,103,381,98,18,568,2018
Manchester Utd,25,8.0,4103,4961,82.7,68291,22947,2026,2242,90.4,1461,1668,87.6,409,693,59.0,7,12.0,10.5,-5.0,77,254,69,17,346,2018
