Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Année édition
Inter,17,6.0,162,27.00,122,13,5,11,6,5,10,1.67,6,1,1,2,0,0,2019
Juventus,22,10.0,291,29.10,212,25,15,20,18,1,25,2.50,16,1,1,4,3,0,2019
Liverpool,20,13.0,337,25.92,251,26,25,20,13,2,44,3.38,31,3,3,3,3,1,2019
Loko Moscow,19,6.0,139,23.17,97,15,10,10,5,2,6,1.00,4,1,1,0,0,0,2019
Lyon,21,8.0,204,25.50,150,10,13,17,10,4,22,2.75,17,1,1,2,0,1,2019
Manchester City,21,10.0,323,32.30,244,21,23,15,16,4,56,5.60,38,3,5,3,5,2,2019
Manchester Utd,26,10.0,202,20.20,155,10,13,10,13,1,15,1.50,10,0,2,2,1,0,2019
Monaco,29,6.0,105,17.50,80,4,6,4,9,2,2,0.33,1,0,0,0,0,1,2019
Napoli,18,6.0,157,26.17,133,9,7,6,2,0,13,2.17,10,1,0,1,1,0,2019
Paris S-G,20,8.0,217,27.12,160,12,17,16,10,2,35,4.37,21,2,5,3,3,1,2019
Porto,25,10.3,228,22.06,142,30,15,20,13,8,36,3.48,19,5,2,3,6,1,2019
PSV Eindhoven,18,6.0,132,22.00,90,10,5,8,16,3,9,1.50,6,1,0,1,0,1,2019
Real Madrid,24,8.0,280,35.00,218,21,18,12,7,4,28,3.50,22,2,3,0,1,0,2019
Red Star,20,6.0,68,11.33,46,9,4,3,3,3,9,1.50,5,1,2,1,0,0,2019
Roma,24,8.3,224,26.88,145,26,14,19,17,3,23,2.76,17,2,0,3,1,0,2019
Schalke 04,27,8.0,124,15.50,77,15,11,9,8,4,12,1.50,7,1,0,2,2,0,2019
Shakhtar,20,6.0,129,21.50,108,8,4,3,5,1,15,2.50,15,0,0,0,0,0,2019
Tottenham,24,13.0,360,27.69,242,28,37,30,17,6,36,2.77,27,1,6,2,0,0,2019
Valencia,22,6.0,121,20.17,94,7,9,5,5,1,9,1.50,7,0,1,1,0,0,2019
Viktoria Plzeň,21,6.0,106,17.67,85,8,1,7,4,1,13,2.17,10,1,0,1,1,0,2019
Young Boys,20,6.0,122,20.33,100,6,3,5,5,3,7,1.17,4,0,0,1,2,0,2019
Anderlecht,20,6.0,98,16.33,72,6,7,5,4,4,2,0.33,2,0,0,0,0,0,2018
APOEL FC,21,6.0,91,15.17,66,7,7,4,6,1,4,0.67,2,0,1,1,0,0,2018
Atlético Madrid,20,6.0,190,31.67,137,15,12,15,8,3,10,1.67,6,1,1,1,1,0,2018
Barcelona,22,10.0,226,22.60,161,14,19,10,16,6,21,2.10,14,1,4,1,1,0,2018
Basel,21,8.0,136,17.00,77,10,17,12,12,8,20,2.50,8,1,4,4,1,2,2018
Bayern Munich,22,12.0,397,33.08,291,38,15,27,22,4,43,3.58,33,1,4,4,1,0,2018
Benfica,25,6.0,163,27.17,121,16,11,4,8,3,2,0.33,2,0,0,0,0,0,2018
Beşiktaş,23,8.0,151,18.87,112,8,16,5,9,1,23,2.87,16,0,3,2,2,0,2018
Celtic,20,6.0,95,15.83,66,6,13,4,4,2,6,1.00,4,1,1,0,0,0,2018
Chelsea,19,8.0,228,28.50,162,19,27,10,8,2,25,3.12,17,4,1,1,2,0,2018
CSKA Moscow,20,6.0,127,21.17,94,10,5,10,6,2,12,2.00,10,0,0,2,0,0,2018
Dortmund,22,6.0,152,25.33,111,11,12,8,6,4,13,2.17,11,0,0,1,0,1,2018
Feyenoord,23,6.0,98,16.33,74,5,5,6,7,1,8,1.33,5,0,1,2,0,0,2018
Juventus,23,10.0,230,23.00,154,28,20,11,15,2,26,2.60,19,1,1,2,3,0,2018
Liverpool,24,13.0,345,26.54,253,23,27,20,14,8,66,5.08,43,3,6,10,2,2,2018
