Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
25,Andreas Isaksson,se SWE,GK,PSV Eindhoven,26,1981,6,6,540,6.0,14,2.33,38,24,63.2,1,0,5,1,16.7,,,,,,2008-2009
26,Albert Jorquera,es ESP,GK,Barcelona,29,1979,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,,,,,,2008-2009
27,Tomasz Kuszczak,pl POL,GK,Manchester Utd,26,1982,2,2,180,2.0,2,1.00,7,5,71.4,0,2,0,1,50.0,,,,,,2008-2009
28,Hugo Lloris,fr FRA,GK,Lyon,21,1986,8,8,720,8.0,16,2.00,42,26,61.9,3,3,2,1,12.5,,,,,,2008-2009
29,Diego López,es ESP,GK,Villarreal,26,1981,9,9,810,9.0,11,1.22,46,35,76.1,3,5,1,3,33.3,,,,,,2008-2009
30,Vyacheslav Malafeev,ru RUS,GK,Zenit,29,1979,6,6,540,6.0,7,1.17,32,25,78.1,1,2,3,2,33.3,,,,,,2008-2009
31,Steve Mandanda,fr FRA,GK,Marseille,23,1985,6,6,540,6.0,7,1.17,22,15,68.2,1,1,4,2,33.3,,,,,,2008-2009
32,Alex Manninger,at AUT,GK,Juventus,31,1977,5,5,450,5.0,3,0.60,22,19,86.4,2,3,0,3,60.0,,,,,,2008-2009
33,Zoltán Nagy,hu HUN,GK,Anorthosis,34,1974,2,1,135,1.5,3,2.00,17,14,82.4,0,1,1,0,0.0,,,,,,2008-2009
34,Nuno,pt POR,GK,Porto,34,1974,1,1,90,1.0,1,1.00,1,0,0.0,0,0,1,0,0.0,,,,,,2008-2009
35,Rui Patrício,pt POR,GK,Sporting CP,20,1988,6,6,521,5.8,15,2.59,35,20,57.1,3,0,3,3,50.0,,,,,,2008-2009
36,Andriy Pyatov,ua UKR,GK,Shakhtar,24,1984,6,6,540,6.0,7,1.17,28,21,75.0,3,0,3,1,16.7,,,,,,2008-2009
37,Ulrich Ramé,fr FRA,GK,Bordeaux,35,1972,3,3,270,3.0,6,2.00,14,8,57.1,1,0,2,1,33.3,,,,,,2008-2009
38,Pepe Reina,es ESP,GK,Liverpool,25,1982,9,9,810,9.0,11,1.22,41,30,73.2,5,3,1,3,33.3,,,,,,2008-2009
39,Michael Rensing,de GER,GK,Bayern Munich,24,1984,7,7,630,7.0,4,0.57,42,38,90.5,5,2,0,4,57.1,,,,,,2008-2009
40,Eduard Stăncioiu,ro ROU,GK,CFR Cluj,27,1981,5,5,450,5.0,7,1.40,23,16,69.6,1,1,3,1,20.0,,,,,,2008-2009
41,Francesco Toldo,it ITA,GK,Inter,36,1971,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,,,,,,2008-2009
42,Alexandros Tzorvas,gr GRE,GK,Panathinaikos,25,1982,1,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,,,,,,2008-2009
43,Víctor Valdés,es ESP,GK,Barcelona,26,1982,12,12,"1,080",12.0,10,0.83,33,23,69.7,7,5,0,4,33.3,,,,,,2008-2009
44,Mathieu Valverde,fr FRA,GK,Bordeaux,25,1983,3,3,270,3.0,5,1.67,12,7,58.3,1,1,1,0,0.0,,,,,,2008-2009
45,Christian Vander,de GER,GK,Werder Bremen,27,1980,2,2,180,2.0,4,2.00,11,7,63.6,0,2,0,0,0.0,,,,,,2008-2009
46,Sebastián Viera,uy URU,GK,Villarreal,25,1983,1,1,90,1.0,2,2.00,8,6,75.0,0,0,1,0,0.0,,,,,,2008-2009
