Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Année édition
Paris S-G,21,,,,,,,,,,,,,,,,,,2013-2014
Porto,18,,,,,,,,,,,,,,,,,,2013-2014
Real Madrid,22,,,,,,,,,,,,,,,,,,2013-2014
Real Sociedad,23,,,,,,,,,,,,,,,,,,2013-2014
Schalke 04,25,,,,,,,,,,,,,,,,,,2013-2014
Shakhtar,17,,,,,,,,,,,,,,,,,,2013-2014
Steaua,21,,,,,,,,,,,,,,,,,,2013-2014
Viktoria Plzeň,18,,,,,,,,,,,,,,,,,,2013-2014
Zenit,21,,,,,,,,,,,,,,,,,,2013-2014
Ajax,18,,,,,,,,,,,,,,,,,,2012-2013
Anderlecht,20,,,,,,,,,,,,,,,,,,2012-2013
Arsenal,28,,,,,,,,,,,,,,,,,,2012-2013
Barcelona,25,,,,,,,,,,,,,,,,,,2012-2013
BATE Borisov,19,,,,,,,,,,,,,,,,,,2012-2013
Bayern Munich,21,,,,,,,,,,,,,,,,,,2012-2013
Benfica,20,,,,,,,,,,,,,,,,,,2012-2013
Braga,20,,,,,,,,,,,,,,,,,,2012-2013
Celtic,19,,,,,,,,,,,,,,,,,,2012-2013
CFR Cluj,19,,,,,,,,,,,,,,,,,,2012-2013
Chelsea,19,,,,,,,,,,,,,,,,,,2012-2013
Dinamo Zagreb,19,,,,,,,,,,,,,,,,,,2012-2013
Dortmund,20,,,,,,,,,,,,,,,,,,2012-2013
Dynamo Kyiv,21,,,,,,,,,,,,,,,,,,2012-2013
Galatasaray,22,,,,,,,,,,,,,,,,,,2012-2013
Juventus,24,,,,,,,,,,,,,,,,,,2012-2013
Lille,22,,,,,,,,,,,,,,,,,,2012-2013
Málaga,24,,,,,,,,,,,,,,,,,,2012-2013
Manchester City,21,,,,,,,,,,,,,,,,,,2012-2013
Manchester Utd,28,,,,,,,,,,,,,,,,,,2012-2013
Milan,28,,,,,,,,,,,,,,,,,,2012-2013
Montpellier,25,,,,,,,,,,,,,,,,,,2012-2013
Nordsjælland,19,,,,,,,,,,,,,,,,,,2012-2013
Olympiacos,20,,,,,,,,,,,,,,,,,,2012-2013
Paris S-G,25,,,,,,,,,,,,,,,,,,2012-2013
Porto,19,,,,,,,,,,,,,,,,,,2012-2013
Real Madrid,25,,,,,,,,,,,,,,,,,,2012-2013
Schalke 04,23,,,,,,,,,,,,,,,,,,2012-2013
Shakhtar,18,,,,,,,,,,,,,,,,,,2012-2013
Spartak Moscow,23,,,,,,,,,,,,,,,,,,2012-2013
Valencia,23,,,,,,,,,,,,,,,,,,2012-2013
Zenit,21,,,,,,,,,,,,,,,,,,2012-2013
Ajax,20,,,,,,,,,,,,,,,,,,2011-2012
APOEL FC,23,,,,,,,,,,,,,,,,,,2011-2012
Arsenal,29,,,,,,,,,,,,,,,,,,2011-2012
Barcelona,31,,,,,,,,,,,,,,,,,,2011-2012
Basel,20,,,,,,,,,,,,,,,,,,2011-2012
BATE Borisov,21,,,,,,,,,,,,,,,,,,2011-2012
Bayern Munich,21,,,,,,,,,,,,,,,,,,2011-2012
Benfica,22,,,,,,,,,,,,,,,,,,2011-2012
Chelsea,23,,,,,,,,,,,,,,,,,,2011-2012
CSKA Moscow,23,,,,,,,,,,,,,,,,,,2011-2012
Dinamo Zagreb,19,,,,,,,,,,,,,,,,,,2011-2012
Dortmund,20,,,,,,,,,,,,,,,,,,2011-2012
Genk,20,,,,,,,,,,,,,,,,,,2011-2012
Inter,25,,,,,,,,,,,,,,,,,,2011-2012
Leverkusen,21,,,,,,,,,,,,,,,,,,2011-2012
Lille,20,,,,,,,,,,,,,,,,,,2011-2012
Lyon,20,,,,,,,,,,,,,,,,,,2011-2012
Manchester City,20,,,,,,,,,,,,,,,,,,2011-2012
Manchester Utd,24,,,,,,,,,,,,,,,,,,2011-2012
Marseille,22,,,,,,,,,,,,,,,,,,2011-2012
Milan,27,,,,,,,,,,,,,,,,,,2011-2012
Napoli,19,,,,,,,,,,,,,,,,,,2011-2012
Olympiacos,22,,,,,,,,,,,,,,,,,,2011-2012
Oțelul Galați,22,,,,,,,,,,,,,,,,,,2011-2012
Porto,20,,,,,,,,,,,,,,,,,,2011-2012
Real Madrid,24,,,,,,,,,,,,,,,,,,2011-2012
Shakhtar,20,,,,,,,,,,,,,,,,,,2011-2012
Trabzonspor,18,,,,,,,,,,,,,,,,,,2011-2012
Valencia,19,,,,,,,,,,,,,,,,,,2011-2012
Viktoria Plzeň,19,,,,,,,,,,,,,,,,,,2011-2012
Villarreal,23,,,,,,,,,,,,,,,,,,2011-2012
Zenit,20,,,,,,,,,,,,,,,,,,2011-2012
Ajax,17,,,,,,,,,,,,,,,,,,2010-2011
Arsenal,25,,,,,,,,,,,,,,,,,,2010-2011
Auxerre,20,,,,,,,,,,,,,,,,,,2010-2011
Barcelona,25,,,,,,,,,,,,,,,,,,2010-2011
Basel,18,,,,,,,,,,,,,,,,,,2010-2011
Bayern Munich,23,,,,,,,,,,,,,,,,,,2010-2011
Benfica,19,,,,,,,,,,,,,,,,,,2010-2011
