Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
Beşiktaş,2,6,6,540,,8,1.33,26,18,69.2,1,1,4,2,33.3,,,,,,2009-2010
Bordeaux,2,10,10,900,,6,0.60,40,34,85.0,6,3,1,6,60.0,,,,,,2009-2010
Chelsea,2,8,8,540,,4,0.67,27,23,85.2,4,3,1,4,50.0,,,,,,2009-2010
CSKA Moscow,1,10,10,900,,14,1.40,49,35,71.4,4,3,3,0,0.0,,,,,,2009-2010
Debrecen,2,12,12,540,,19,3.17,44,25,56.8,3,2,7,0,0.0,,,,,,2009-2010
Dynamo Kyiv,2,6,6,540,,9,1.50,24,15,62.5,1,2,3,1,16.7,,,,,,2009-2010
Fiorentina,2,10,10,720,,11,1.37,47,36,76.6,5,3,2,2,20.0,,,,,,2009-2010
Inter,1,13,13,"1,170",,9,0.69,49,40,81.6,8,3,2,6,46.2,,,,,,2009-2010
Juventus,1,6,6,540,,7,1.17,29,22,75.9,2,2,2,3,50.0,,,,,,2009-2010
Liverpool,2,6,6,540,,7,1.17,26,19,73.1,2,1,3,2,33.3,,,,,,2009-2010
Lyon,1,14,14,"1,080",,10,0.83,52,42,80.8,8,3,3,4,28.6,,,,,,2009-2010
Maccabi Haifa,1,12,12,540,,8,1.33,34,26,76.5,3,3,6,0,0.0,,,,,,2009-2010
Manchester Utd,3,10,10,900,,12,1.20,47,35,74.5,5,3,2,3,30.0,,,,,,2009-2010
Marseille,1,6,6,540,,10,1.67,25,15,60.0,2,1,3,1,16.7,,,,,,2009-2010
Milan,3,8,8,720,,14,1.75,34,20,58.8,2,3,3,0,0.0,,,,,,2009-2010
Olympiacos,1,12,12,720,,8,1.00,33,25,75.8,5,3,4,3,25.0,,,,,,2009-2010
Porto,2,8,8,720,,9,1.13,44,35,79.5,5,0,3,3,37.5,,,,,,2009-2010
Rangers,1,6,6,540,,13,2.17,41,28,68.3,0,2,4,0,0.0,,,,,,2009-2010
Real Madrid,1,8,8,720,,9,1.13,27,18,66.7,4,2,2,2,25.0,,,,,,2009-2010
Rubin Kazan,1,6,6,540,,7,1.17,38,31,81.6,1,3,2,2,33.3,,,,,,2009-2010
Sevilla,2,8,8,720,,7,0.87,22,15,68.2,4,3,1,2,25.0,,,,,,2009-2010
Standard Liège,1,6,6,540,,9,1.50,44,35,79.5,1,2,3,1,16.7,,,,,,2009-2010
Stuttgart,1,10,10,720,,12,1.50,46,34,73.9,3,5,2,0,0.0,,,,,,2009-2010
Unirea Urziceni,2,6,6,540,,8,1.33,35,27,77.1,2,2,2,1,16.7,,,,,,2009-2010
